Taiga ticket No.,subject,type,status,finished_date
156,Data transformations - ML,tasks,Completed,2024-10-24 18:22:23
157,Salesforce Obeject Mapping - ML,tasks,Completed,2024-10-24 18:22:26
158,Salesforce Field Mapping - ML,tasks,Completed,2024-10-24 18:22:29
160,UX UI Design - Finalize graph for column summary graph,tasks,Completed,2024-10-17 12:40:14
161,Column Profile Screen - Add functionality of AI Suggestions,tasks,Completed,2024-10-17 14:10:50
171,ML - Adding custom transformation steps,tasks,Completed,2024-10-17 14:16:05
177,Improve Error Handling in job_file_sample() for Clearer Error Messages,tasks,Completed,2025-01-08 14:59:07
178,Fix job_flow scheduling endpoint,tasks,Completed,2025-01-08 14:59:09
182,ML - AI Suggestions for Data Fixes,tasks,Completed,2024-10-17 14:16:08
183,ML - Summary Stats and SF Validations,tasks,Completed,2024-11-18 06:25:05
184,ML - Capturing metrics of fixes,tasks,Completed,2024-10-17 14:16:12
1186,Scroll experience needs improvement in Windows,issues,Completed,2025-02-27 10:23:18
1184,When resetting password we share private information,issues,Completed,2025-02-26 09:55:30
1180,Emails are coming from wrong address,issues,Completed,2025-02-26 09:59:30
1162,Select Record ID column on data fixes screen,issues,Completed,2025-02-27 10:30:52
1160,Hover help on Mapping Screen has incorrect capitalization,issues,Completed,2025-02-27 11:04:30
1158,"Filter Conditions Reverting to Default ""="" When Adding a New Condition in a Group",issues,Completed,2025-02-26 06:55:53
1157,No Option to Remove Applied Limit in Data Extract Query Builder,issues,Completed,2025-02-27 10:24:36
1156,Profile Photo Upload Allows Invalid File Size & Formats,issues,Completed,2025-02-27 11:22:30
1155,Extract job giving error on a valid query,issues,Completed,2025-02-26 04:01:41
1150,Unsupported browser message should be after each registration or sign in,issues,Completed,2025-02-27 10:31:17
1140,Getting error on update and upsert for contact object,issues,Completed,2025-02-25 07:25:52
1139,"Mismatch in ""Rows with Errors"" Count Between Email and Job Card Detail",issues,Completed,2025-02-25 07:28:01
1137,Inactivity Modal Overlapping Other Modals,issues,Completed,2025-02-27 10:31:48
1136,SOQL Query Error When Changing Org in the Same Job,issues,Completed,2025-02-25 07:28:34
1135,Progress stepper glitches if zoomed out,issues,Completed,2025-02-27 10:32:11
1134,Marketing site updates and the Adding video link on the marketing site and the application dashboard,issues,Completed,2025-02-26 08:34:18
1133,Update Primary Button color across the app.,issues,Completed,2025-03-07 08:08:18
1132,Fetch Record IDs popup,issues,Completed,2025-02-27 10:32:48
1131,Upsert Operation Issue with Criteria column values having null values,issues,Completed,2025-02-25 07:01:07
1130,Update - Duplicate Record Errors file don't have the column names in case source file has the missing columns,issues,Completed,2025-02-27 11:19:13
1129,Unsupported browser message,issues,Completed,2025-02-25 07:10:45
1128,Unsupported Screen Size for mobile,issues,Completed,2025-02-25 07:01:11
1126,Getting error on proceeding to Data Fixes,issues,Completed,2025-02-25 06:58:16
1124,Can't stick to viewing all columns in Data Fixes,issues,Completed,2025-02-25 07:01:15
1123,Update and Upsert is not working as expected in case of duplicate records,issues,Completed,2025-02-25 07:01:17
